Attacked Unit@aee39bbat position 1552, 411 at time 1607967053425
Got attacked at 1665, 569 by Unit@7fd22736 at time 1607967053429
Got attacked at 1665, 569 by Unit@38ec0804 at time 1607967053497
Got attacked at 1665, 569 by Unit@61cf749d at time 1607967053498
Got attacked at 1665, 569 by Unit@27e8bfab at time 1607967053498
Got attacked at 1665, 569 by Unit@43da1053 at time 1607967053501
Got attacked at 1665, 569 by Unit@13dd7190 at time 1607967053505
Got attacked at 1665, 569 by Unit@28c4d5f3 at time 1607967053506
Got attacked at 1665, 569 by Unit@2012e7bf at time 1607967053506
Got attacked at 1665, 569 by Unit@5c0a5981 at time 1607967053538
Got attacked at 1665, 569 by Unit@17c3616c at time 1607967053539
Got attacked at 1665, 569 by Unit@7c35aaaa at time 1607967053560
Got attacked at 1665, 569 by Unit@965adc7 at time 1607967053579
Got attacked at 1665, 569 by Unit@31864e63 at time 1607967053579
Got attacked at 1665, 569 by Unit@aee39bb at time 1607967053606
Moved to 2574, 980 at time 1607969431708
Moved to 2573, 979 at time 1607969431834
Moved to 2572, 978 at time 1607969431893
Moved to 2571, 977 at time 1607969432056
Moved to 2570, 976 at time 1607969432219
Moved to 2569, 975 at time 1607969432362
Moved to 2568, 974 at time 1607969432418
Moved to 2567, 973 at time 1607969432589
Moved to 2566, 972 at time 1607969432663
Moved to 2565, 971 at time 1607969432839
Moved to 2564, 970 at time 1607969432904
Moved to 2563, 969 at time 1607969433007
Moved to 2562, 968 at time 1607969433172
Moved to 2561, 967 at time 1607969433281
Moved to 2560, 966 at time 1607969433449
Moved to 2559, 965 at time 1607969433532
Moved to 2558, 964 at time 1607969433600
Moved to 2557, 963 at time 1607969433688
Moved to 2556, 962 at time 1607969433766
Moved to 2555, 961 at time 1607969433855
Moved to 2554, 960 at time 1607969434019
Moved to 2553, 959 at time 1607969434176
Moved to 2552, 958 at time 1607969434333
Moved to 2551, 957 at time 1607969434409
Moved to 2550, 956 at time 1607969434477
Moved to 2549, 955 at time 1607969434550
Moved to 2548, 954 at time 1607969434598
Moved to 2547, 953 at time 1607969434769
Moved to 2546, 952 at time 1607969434884
Moved to 2545, 951 at time 1607969435058
Moved to 2544, 950 at time 1607969435096
Moved to 2543, 949 at time 1607969435135
Moved to 2542, 948 at time 1607969435214
Moved to 2541, 947 at time 1607969435249
Moved to 2540, 946 at time 1607969435308
Moved to 2539, 945 at time 1607969435378
Moved to 2538, 944 at time 1607969435579
Moved to 2537, 943 at time 1607969435620
Moved to 2536, 942 at time 1607969435697
Moved to 2535, 941 at time 1607969435762
Moved to 2534, 940 at time 1607969435824
Moved to 2533, 939 at time 1607969435895
Moved to 2532, 938 at time 1607969435954
Moved to 2531, 937 at time 1607969435988
Moved to 2530, 936 at time 1607969436053
Moved to 2529, 935 at time 1607969436087
Moved to 2528, 934 at time 1607969436122
Moved to 2527, 933 at time 1607969436169
Moved to 2526, 932 at time 1607969436219
Moved to 2525, 931 at time 1607969436290
Moved to 2524, 930 at time 1607969436330
Moved to 2523, 929 at time 1607969436388
Moved to 2522, 928 at time 1607969436436
Moved to 2521, 927 at time 1607969436476
Moved to 2520, 926 at time 1607969436532
Moved to 2519, 925 at time 1607969436570
Moved to 2518, 924 at time 1607969436631
Moved to 2517, 923 at time 1607969436702
Moved to 2516, 922 at time 1607969436736
Moved to 2515, 921 at time 1607969436836
Moved to 2514, 920 at time 1607969436886
Moved to 2513, 919 at time 1607969436954
Moved to 2512, 918 at time 1607969437025
Moved to 2511, 917 at time 1607969437059
Moved to 2510, 916 at time 1607969437118
Moved to 2509, 915 at time 1607969437154
Moved to 2508, 914 at time 1607969437215
Moved to 2507, 913 at time 1607969437267
Moved to 2506, 912 at time 1607969437333
Moved to 2505, 911 at time 1607969437402
Moved to 2504, 910 at time 1607969437437
Moved to 2503, 909 at time 1607969437512
Moved to 2502, 908 at time 1607969437562
Moved to 2501, 907 at time 1607969437631
Moved to 2500, 906 at time 1607969437677
Moved to 2499, 905 at time 1607969437742
Moved to 2498, 904 at time 1607969437779
Moved to 2497, 903 at time 1607969437869
Moved to 2496, 902 at time 1607969437920
