Attacked Unit@28c4d5f3at position 1592, 414 at time 1607967053426
Moved to 1359, 643 at time 1607969462287
Moved to 1358, 642 at time 1607969462342
Moved to 1357, 641 at time 1607969462381
Moved to 1356, 640 at time 1607969462455
Moved to 1355, 639 at time 1607969462552
Moved to 1354, 638 at time 1607969462626
Moved to 1353, 637 at time 1607969462740
Moved to 1352, 636 at time 1607969462809
Moved to 1351, 635 at time 1607969462919
Moved to 1350, 634 at time 1607969462992
Moved to 1349, 633 at time 1607969463027
Moved to 1348, 632 at time 1607969463061
Moved to 1347, 631 at time 1607969463215
Moved to 1346, 630 at time 1607969463423
Moved to 1345, 629 at time 1607969463623
Moved to 1344, 628 at time 1607969463753
Moved to 1343, 627 at time 1607969463832
Moved to 1342, 626 at time 1607969463939
Moved to 1341, 625 at time 1607969463974
Moved to 1340, 624 at time 1607969464178
Moved to 1339, 623 at time 1607969464331
Moved to 1338, 622 at time 1607969464367
Moved to 1337, 621 at time 1607969464403
Moved to 1336, 620 at time 1607969464487
Moved to 1335, 619 at time 1607969464712
Moved to 1334, 618 at time 1607969464894
Moved to 1333, 617 at time 1607969464956
Moved to 1332, 616 at time 1607969465004
Moved to 1331, 615 at time 1607969465040
Moved to 1330, 614 at time 1607969465091
Moved to 1329, 613 at time 1607969465144
Moved to 1328, 612 at time 1607969465180
Moved to 1327, 611 at time 1607969465229
Moved to 1326, 610 at time 1607969465278
Moved to 1325, 609 at time 1607969465313
Moved to 1324, 608 at time 1607969465360
Moved to 1323, 607 at time 1607969465400
Moved to 1322, 606 at time 1607969465448
Moved to 1321, 605 at time 1607969465482
Moved to 1320, 604 at time 1607969465519
Moved to 1319, 603 at time 1607969465557
Moved to 1318, 602 at time 1607969465603
Moved to 1317, 601 at time 1607969465644
Moved to 1316, 600 at time 1607969465690
Moved to 1315, 599 at time 1607969465739
Moved to 1314, 598 at time 1607969465791
Moved to 1313, 597 at time 1607969465847
Moved to 1312, 596 at time 1607969465896
Moved to 1311, 595 at time 1607969465933
Moved to 1310, 594 at time 1607969466028
Moved to 1309, 593 at time 1607969466172
Moved to 1308, 592 at time 1607969466274
Moved to 1307, 591 at time 1607969466383
Moved to 1306, 590 at time 1607969466436
Moved to 1305, 589 at time 1607969466498
Moved to 1304, 588 at time 1607969466535
Moved to 1303, 587 at time 1607969466591
Moved to 1302, 586 at time 1607969466641
Moved to 1301, 585 at time 1607969466679
Moved to 1300, 584 at time 1607969466717
Moved to 1299, 583 at time 1607969466766
Moved to 1298, 582 at time 1607969466825
Moved to 1297, 581 at time 1607969466862
Moved to 1296, 580 at time 1607969466898
Moved to 1295, 579 at time 1607969466950
Moved to 1294, 578 at time 1607969467010
Moved to 1293, 577 at time 1607969467059
Moved to 1292, 576 at time 1607969467116
Moved to 1291, 575 at time 1607969467162
Moved to 1290, 574 at time 1607969467224
Moved to 1289, 573 at time 1607969467279
Moved to 1288, 572 at time 1607969467334
Moved to 1287, 571 at time 1607969467376
Moved to 1286, 570 at time 1607969467437
Moved to 1285, 569 at time 1607969467479
Moved to 1284, 568 at time 1607969467514
Moved to 1283, 567 at time 1607969467562
Moved to 1282, 566 at time 1607969467620
Moved to 1281, 565 at time 1607969467666
Moved to 1280, 564 at time 1607969467706
Moved to 1279, 563 at time 1607969467799
Moved to 1278, 562 at time 1607969467908
Moved to 1277, 561 at time 1607969467956
Moved to 1276, 560 at time 1607969468071
Moved to 1275, 559 at time 1607969468117
Moved to 1274, 558 at time 1607969468238
Moved to 1273, 557 at time 1607969468293
Moved to 1272, 556 at time 1607969468418
Moved to 1271, 555 at time 1607969468478
Moved to 1270, 554 at time 1607969468562
Moved to 1269, 553 at time 1607969468618
Moved to 1268, 552 at time 1607969468668
Moved to 1267, 551 at time 1607969468757
Moved to 1266, 550 at time 1607969468798
Moved to 1265, 549 at time 1607969468833
Moved to 1264, 548 at time 1607969468887
Moved to 1263, 547 at time 1607969468941
Moved to 1262, 546 at time 1607969468988
Moved to 1261, 545 at time 1607969469035
Moved to 1260, 544 at time 1607969469101
Moved to 1259, 543 at time 1607969469147
Moved to 1258, 542 at time 1607969469181
Moved to 1257, 541 at time 1607969469216
Moved to 1256, 540 at time 1607969469327
Moved to 1255, 539 at time 1607969469456
Moved to 1254, 538 at time 1607969469565
Moved to 1253, 537 at time 1607969469746
Moved to 1252, 536 at time 1607969469965
Moved to 1251, 535 at time 1607969470063
Moved to 1250, 534 at time 1607969470151
Moved to 1249, 533 at time 1607969470247
Moved to 1248, 532 at time 1607969470335
Moved to 1247, 531 at time 1607969470422
Moved to 1246, 530 at time 1607969470518
Moved to 1245, 529 at time 1607969470582
Moved to 1244, 528 at time 1607969470679
Moved to 1243, 527 at time 1607969470753
Moved to 1242, 526 at time 1607969470854
Moved to 1241, 525 at time 1607969470927
Moved to 1240, 524 at time 1607969471031
Moved to 1239, 523 at time 1607969471094
Moved to 1238, 522 at time 1607969471199
Moved to 1237, 521 at time 1607969471275
Moved to 1236, 520 at time 1607969471383
Moved to 1235, 519 at time 1607969471461
Moved to 1234, 518 at time 1607969471552
Moved to 1233, 517 at time 1607969471626
Moved to 1232, 516 at time 1607969471723
Moved to 1231, 515 at time 1607969471855
Moved to 1230, 514 at time 1607969471923
Moved to 1229, 513 at time 1607969471996
Moved to 1228, 512 at time 1607969472040
Moved to 1227, 511 at time 1607969472115
Moved to 1226, 510 at time 1607969472156
Moved to 1225, 509 at time 1607969472242
Moved to 1224, 508 at time 1607969472297
Moved to 1223, 507 at time 1607969472359
Moved to 1222, 506 at time 1607969472394
Moved to 1221, 505 at time 1607969472491
Moved to 1220, 504 at time 1607969472678
Moved to 1219, 503 at time 1607969472817
Moved to 1218, 502 at time 1607969472853
Moved to 1217, 501 at time 1607969472949
Moved to 1216, 500 at time 1607969473009
Moved to 1215, 499 at time 1607969473106
Moved to 1214, 498 at time 1607969473184
Moved to 1213, 497 at time 1607969473258
Moved to 1212, 496 at time 1607969473337
Moved to 1211, 495 at time 1607969473422
Moved to 1210, 494 at time 1607969473505
Moved to 1209, 493 at time 1607969473568
Moved to 1208, 492 at time 1607969473660
Moved to 1207, 491 at time 1607969473743
Moved to 1206, 490 at time 1607969473845
Moved to 1205, 489 at time 1607969473881
Moved to 1204, 488 at time 1607969474035
Moved to 1203, 487 at time 1607969474070
Moved to 1202, 486 at time 1607969474152
Moved to 1201, 485 at time 1607969474234
Moved to 1200, 484 at time 1607969474320
Moved to 1199, 483 at time 1607969474383
Moved to 1198, 482 at time 1607969474459
Moved to 1197, 481 at time 1607969474540
Moved to 1196, 480 at time 1607969474619
Moved to 1195, 479 at time 1607969474693
Moved to 1194, 478 at time 1607969474780
Moved to 1193, 477 at time 1607969474814
Moved to 1192, 476 at time 1607969474970
Moved to 1191, 475 at time 1607969475109
Moved to 1190, 474 at time 1607969475234
Moved to 1189, 473 at time 1607969475269
Moved to 1188, 472 at time 1607969475338
Moved to 1187, 471 at time 1607969475455
Moved to 1186, 470 at time 1607969475620
Moved to 1185, 469 at time 1607969475763
Moved to 1184, 468 at time 1607969475931
Moved to 1183, 467 at time 1607969475968
Moved to 1182, 466 at time 1607969476015
Moved to 1181, 465 at time 1607969476117
Moved to 1180, 464 at time 1607969476303
Moved to 1179, 463 at time 1607969476411
Moved to 1178, 462 at time 1607969476577
Moved to 1177, 461 at time 1607969476685
Moved to 1176, 460 at time 1607969476810
Moved to 1175, 459 at time 1607969476914
Moved to 1174, 458 at time 1607969476984
Moved to 1173, 457 at time 1607969477104
Moved to 1172, 456 at time 1607969477140
Moved to 1171, 455 at time 1607969477207
Moved to 1170, 454 at time 1607969477280
Moved to 1169, 453 at time 1607969477350
Moved to 1168, 452 at time 1607969477401
Moved to 1167, 451 at time 1607969477480
Moved to 1166, 450 at time 1607969477540
Moved to 1165, 449 at time 1607969477620
Moved to 1164, 448 at time 1607969477686
Moved to 1163, 447 at time 1607969477762
Moved to 1162, 446 at time 1607969477820
Moved to 1161, 445 at time 1607969477901
Moved to 1160, 444 at time 1607969477946
Moved to 1159, 443 at time 1607969478038
Moved to 1158, 442 at time 1607969478089
Moved to 1157, 441 at time 1607969478170
Moved to 1156, 440 at time 1607969478218
Moved to 1155, 439 at time 1607969478306
Moved to 1154, 438 at time 1607969478352
Moved to 1153, 437 at time 1607969478427
Moved to 1152, 436 at time 1607969478485
Moved to 1151, 435 at time 1607969478559
Moved to 1150, 434 at time 1607969478617
Moved to 1149, 433 at time 1607969478699
Moved to 1148, 432 at time 1607969478772
Moved to 1147, 431 at time 1607969478848
Moved to 1146, 430 at time 1607969478904
Moved to 1145, 429 at time 1607969478967
Moved to 1144, 428 at time 1607969479002
Moved to 1143, 427 at time 1607969479153
Moved to 1142, 426 at time 1607969479230
Moved to 1141, 425 at time 1607969479294
Moved to 1140, 424 at time 1607969479358
Moved to 1139, 423 at time 1607969479421
Moved to 1138, 422 at time 1607969479512
Moved to 1137, 421 at time 1607969479546
Moved to 1136, 420 at time 1607969479580
Moved to 1135, 419 at time 1607969479618
Moved to 1134, 418 at time 1607969479670
Moved to 1133, 417 at time 1607969479745
Moved to 1132, 416 at time 1607969479845
Moved to 1131, 415 at time 1607969479956
Moved to 1130, 414 at time 1607969479991
Moved to 1129, 413 at time 1607969480035
Moved to 1128, 412 at time 1607969480105
Moved to 1127, 411 at time 1607969480139
Moved to 1126, 410 at time 1607969480179
Moved to 1125, 409 at time 1607969480213
Moved to 1124, 408 at time 1607969480259
Moved to 1123, 407 at time 1607969480299
Moved to 1122, 406 at time 1607969480333
Moved to 1121, 405 at time 1607969480377
Moved to 1120, 404 at time 1607969480414
Moved to 1119, 403 at time 1607969480455
Moved to 1118, 402 at time 1607969480489
Moved to 1117, 401 at time 1607969480535
Moved to 1116, 400 at time 1607969480569
Moved to 1115, 399 at time 1607969480604
Moved to 1114, 398 at time 1607969480638
Moved to 1113, 397 at time 1607969480679
Moved to 1112, 396 at time 1607969480719
Moved to 1111, 395 at time 1607969480765
Moved to 1110, 394 at time 1607969480803
Moved to 1109, 393 at time 1607969480841
Moved to 1108, 392 at time 1607969480882
Moved to 1107, 391 at time 1607969480923
Moved to 1106, 390 at time 1607969481029
Moved to 1105, 389 at time 1607969481110
Moved to 1104, 388 at time 1607969481252
Moved to 1103, 387 at time 1607969481286
Moved to 1102, 386 at time 1607969481445
Moved to 1101, 385 at time 1607969481482
Moved to 1100, 384 at time 1607969481533
Moved to 1099, 383 at time 1607969481568
Moved to 1098, 382 at time 1607969481604
Moved to 1097, 381 at time 1607969481679
Moved to 1096, 380 at time 1607969481720
Moved to 1095, 379 at time 1607969481770
Moved to 1094, 378 at time 1607969481826
Moved to 1093, 377 at time 1607969481886
Moved to 1092, 376 at time 1607969481968
Moved to 1091, 375 at time 1607969482067
Moved to 1090, 374 at time 1607969482102
Moved to 1089, 373 at time 1607969482211
Moved to 1088, 372 at time 1607969482320
Moved to 1087, 371 at time 1607969482471
Moved to 1086, 370 at time 1607969482507
Moved to 1085, 369 at time 1607969482552
Moved to 1084, 368 at time 1607969482648
Moved to 1083, 367 at time 1607969482709
Moved to 1082, 366 at time 1607969482800
Moved to 1081, 365 at time 1607969482960
Moved to 1080, 364 at time 1607969483062
Moved to 1079, 363 at time 1607969483096
Moved to 1078, 362 at time 1607969483211
Moved to 1077, 361 at time 1607969483248
Moved to 1076, 360 at time 1607969483333
Moved to 1075, 359 at time 1607969483373
Moved to 1074, 358 at time 1607969483456
Moved to 1073, 357 at time 1607969483506
Moved to 1072, 356 at time 1607969483579
Moved to 1071, 355 at time 1607969483629
Moved to 1070, 354 at time 1607969483728
Moved to 1069, 353 at time 1607969483792
Moved to 1068, 352 at time 1607969483888
Moved to 1067, 351 at time 1607969483937
Moved to 1066, 350 at time 1607969484003
Moved to 1065, 349 at time 1607969484058
Moved to 1064, 348 at time 1607969484123
Moved to 1063, 347 at time 1607969484181
Moved to 1062, 346 at time 1607969484225
Moved to 1061, 345 at time 1607969484269
Moved to 1060, 344 at time 1607969484314
Moved to 1059, 343 at time 1607969484351
Moved to 1058, 342 at time 1607969484385
Moved to 1057, 341 at time 1607969484433
Moved to 1056, 340 at time 1607969484485
Moved to 1055, 339 at time 1607969484557
Moved to 1054, 338 at time 1607969484610
Moved to 1053, 337 at time 1607969484665
Moved to 1052, 336 at time 1607969484716
Moved to 1051, 335 at time 1607969484778
Moved to 1050, 334 at time 1607969484828
Moved to 1049, 333 at time 1607969484896
Moved to 1048, 332 at time 1607969484938
Moved to 1047, 331 at time 1607969484973
Moved to 1046, 330 at time 1607969485098
Moved to 1045, 329 at time 1607969485200
Moved to 1044, 328 at time 1607969485331
Moved to 1043, 327 at time 1607969485424
Moved to 1042, 326 at time 1607969485585
Moved to 1041, 325 at time 1607969485655
Moved to 1040, 324 at time 1607969485702
Moved to 1039, 323 at time 1607969485737
Moved to 1038, 322 at time 1607969485853
Moved to 1037, 321 at time 1607969485971
Moved to 1036, 320 at time 1607969486091
Moved to 1035, 319 at time 1607969486221
Moved to 1034, 318 at time 1607969486323
Moved to 1033, 317 at time 1607969486465
Moved to 1032, 316 at time 1607969486531
Moved to 1031, 315 at time 1607969486590
Moved to 1030, 314 at time 1607969486651
Moved to 1029, 313 at time 1607969486695
Moved to 1028, 312 at time 1607969486778
Moved to 1027, 311 at time 1607969486868
Moved to 1026, 310 at time 1607969486956
Moved to 1025, 309 at time 1607969487040
Moved to 1024, 308 at time 1607969487138
Moved to 1023, 307 at time 1607969487173
Moved to 1022, 306 at time 1607969487268
Moved to 1021, 305 at time 1607969487362
Moved to 1020, 304 at time 1607969487437
Moved to 1019, 303 at time 1607969487548
Moved to 1018, 302 at time 1607969487652
Moved to 1017, 301 at time 1607969487807
Moved to 1016, 300 at time 1607969487886
Moved to 1015, 299 at time 1607969487921
Moved to 1014, 298 at time 1607969487961
Moved to 1013, 297 at time 1607969488006
Moved to 1012, 296 at time 1607969488042
Moved to 1011, 295 at time 1607969488085
Moved to 1010, 294 at time 1607969488123
Moved to 1009, 293 at time 1607969488159
Moved to 1008, 292 at time 1607969488205
Moved to 1007, 291 at time 1607969488242
Moved to 1006, 290 at time 1607969488279
Moved to 1005, 289 at time 1607969488315
Moved to 1004, 288 at time 1607969488353
Moved to 1003, 287 at time 1607969488392
Moved to 1002, 286 at time 1607969488434
Moved to 1001, 285 at time 1607969488470
Moved to 1000, 284 at time 1607969488512
Moved to 999, 283 at time 1607969488625
Moved to 998, 282 at time 1607969488707
Moved to 997, 281 at time 1607969488857
Moved to 996, 280 at time 1607969488935
Moved to 995, 279 at time 1607969489057
Moved to 994, 278 at time 1607969489130
Moved to 993, 277 at time 1607969489248
Moved to 992, 276 at time 1607969489321
Moved to 991, 275 at time 1607969489441
Moved to 990, 274 at time 1607969489539
Moved to 989, 273 at time 1607969489575
Moved to 988, 272 at time 1607969489698
Moved to 987, 271 at time 1607969489768
Moved to 986, 270 at time 1607969489803
Moved to 985, 269 at time 1607969489864
Moved to 984, 268 at time 1607969489907
Moved to 983, 267 at time 1607969489973
Moved to 982, 266 at time 1607969490097
Moved to 981, 265 at time 1607969490168
Moved to 980, 264 at time 1607969490203
Moved to 979, 263 at time 1607969490258
Moved to 978, 262 at time 1607969490295
Moved to 977, 261 at time 1607969490355
Moved to 976, 260 at time 1607969490400
Moved to 975, 259 at time 1607969490451
Moved to 974, 258 at time 1607969490493
Moved to 973, 257 at time 1607969490545
Moved to 972, 256 at time 1607969490682
Moved to 971, 255 at time 1607969490747
Moved to 970, 254 at time 1607969490784
Moved to 969, 253 at time 1607969490856
Moved to 968, 252 at time 1607969490994
Moved to 967, 251 at time 1607969491057
Moved to 966, 250 at time 1607969491181
Moved to 965, 249 at time 1607969491266
Moved to 964, 248 at time 1607969491417
Moved to 963, 247 at time 1607969491508
Moved to 962, 246 at time 1607969491654
Moved to 961, 245 at time 1607969491760
Moved to 960, 244 at time 1607969491892
Moved to 959, 243 at time 1607969491938
Moved to 958, 242 at time 1607969491981
Moved to 957, 241 at time 1607969492100
Moved to 956, 240 at time 1607969492177
Moved to 955, 239 at time 1607969492217
Moved to 954, 238 at time 1607969492251
Moved to 953, 237 at time 1607969492385
Moved to 952, 236 at time 1607969492479
Moved to 951, 235 at time 1607969492644
Moved to 950, 234 at time 1607969492727
Moved to 949, 233 at time 1607969492870
Moved to 948, 232 at time 1607969492965
Moved to 947, 231 at time 1607969493116
Moved to 946, 230 at time 1607969493206
Moved to 945, 229 at time 1607969493242
Moved to 944, 228 at time 1607969493336
Moved to 943, 227 at time 1607969493381
Moved to 942, 226 at time 1607969493464
Moved to 941, 225 at time 1607969493509
Moved to 940, 224 at time 1607969493553
Moved to 939, 223 at time 1607969493609
Moved to 938, 222 at time 1607969493666
Moved to 937, 221 at time 1607969493702
Moved to 936, 220 at time 1607969493794
Moved to 935, 219 at time 1607969493830
Moved to 934, 218 at time 1607969493863
Moved to 933, 217 at time 1607969493931
Moved to 932, 216 at time 1607969493974
Moved to 931, 215 at time 1607969494024
Moved to 930, 214 at time 1607969494076
Moved to 929, 213 at time 1607969494122
Moved to 928, 212 at time 1607969494159
Moved to 927, 211 at time 1607969494216
Moved to 926, 210 at time 1607969494253
Moved to 925, 209 at time 1607969494304
Moved to 924, 208 at time 1607969494418
Moved to 923, 207 at time 1607969494495
Moved to 922, 206 at time 1607969494609
Moved to 921, 205 at time 1607969494682
Moved to 920, 204 at time 1607969494795
Moved to 919, 203 at time 1607969494833
Moved to 918, 202 at time 1607969494916
Moved to 917, 201 at time 1607969494950
Moved to 916, 200 at time 1607969494986
Moved to 915, 199 at time 1607969495026
Moved to 914, 198 at time 1607969495085
Moved to 913, 197 at time 1607969495135
Moved to 912, 196 at time 1607969495215
Moved to 911, 195 at time 1607969495253
Moved to 910, 194 at time 1607969495321
Moved to 909, 193 at time 1607969495386
Moved to 908, 194 at time 1607969495449
Moved to 907, 195 at time 1607969495497
Moved to 906, 196 at time 1607969495557
Moved to 905, 197 at time 1607969495610
Moved to 904, 198 at time 1607969495677
Moved to 903, 199 at time 1607969495732
Moved to 902, 200 at time 1607969495794
Moved to 901, 201 at time 1607969495854
Moved to 900, 202 at time 1607969495918
Moved to 899, 203 at time 1607969495975
Moved to 898, 204 at time 1607969496053
Moved to 897, 205 at time 1607969496093
Moved to 896, 206 at time 1607969496138
Moved to 895, 207 at time 1607969496172
Moved to 894, 208 at time 1607969496208
Moved to 893, 209 at time 1607969496244
Moved to 892, 210 at time 1607969496281
Moved to 891, 211 at time 1607969496315
Moved to 890, 212 at time 1607969496351
Moved to 889, 213 at time 1607969496391
Moved to 888, 214 at time 1607969496431
Moved to 887, 215 at time 1607969496468
Moved to 886, 216 at time 1607969496505
Moved to 885, 217 at time 1607969496545
Moved to 884, 218 at time 1607969496593
Moved to 883, 219 at time 1607969496637
Moved to 882, 220 at time 1607969496682
Moved to 881, 221 at time 1607969496725
Moved to 880, 222 at time 1607969496765
Moved to 879, 223 at time 1607969496803
Moved to 878, 224 at time 1607969496841
Moved to 877, 225 at time 1607969496875
Moved to 876, 226 at time 1607969496922
Moved to 875, 227 at time 1607969496964
Moved to 874, 228 at time 1607969496998
Moved to 873, 229 at time 1607969497040
Moved to 872, 230 at time 1607969497091
Moved to 871, 231 at time 1607969497132
Moved to 870, 232 at time 1607969497172
Moved to 869, 233 at time 1607969497209
Moved to 868, 232 at time 1607969497244
Moved to 867, 231 at time 1607969497302
Moved to 866, 230 at time 1607969497337
Moved to 865, 229 at time 1607969497410
Moved to 864, 228 at time 1607969497447
Moved to 863, 227 at time 1607969497509
Moved to 862, 226 at time 1607969497582
Moved to 861, 225 at time 1607969497627
Moved to 860, 224 at time 1607969497717
Moved to 859, 223 at time 1607969497763
Moved to 858, 222 at time 1607969497839
Moved to 857, 221 at time 1607969497888
Moved to 856, 220 at time 1607969497966
Moved to 855, 219 at time 1607969498002
Moved to 854, 218 at time 1607969498038
Moved to 853, 217 at time 1607969498213
Moved to 852, 216 at time 1607969498304
Moved to 851, 215 at time 1607969498340
Moved to 850, 214 at time 1607969498426
Moved to 849, 213 at time 1607969498579
Moved to 848, 212 at time 1607969498694
Moved to 847, 211 at time 1607969498738
Moved to 846, 210 at time 1607969498847
Moved to 845, 209 at time 1607969498883
Moved to 844, 208 at time 1607969499040
Moved to 843, 207 at time 1607969499142
Moved to 842, 206 at time 1607969499185
Moved to 841, 205 at time 1607969499322
Moved to 840, 204 at time 1607969499425
Moved to 839, 203 at time 1607969499599
Moved to 838, 202 at time 1607969499698
Moved to 837, 201 at time 1607969499866
Moved to 836, 200 at time 1607969499969
Moved to 835, 199 at time 1607969500009
Moved to 834, 198 at time 1607969500111
Moved to 833, 197 at time 1607969500286
Moved to 832, 196 at time 1607969500380
Moved to 831, 195 at time 1607969500422
Moved to 830, 194 at time 1607969500524
Moved to 829, 193 at time 1607969500645
Moved to 828, 192 at time 1607969500695
Moved to 827, 191 at time 1607969500743
Moved to 826, 190 at time 1607969500796
Moved to 825, 189 at time 1607969500838
Moved to 824, 188 at time 1607969500880
Moved to 823, 187 at time 1607969500924
Moved to 822, 186 at time 1607969500970
Moved to 821, 185 at time 1607969501043
Moved to 820, 184 at time 1607969501095
Moved to 819, 183 at time 1607969501129
Moved to 818, 182 at time 1607969501163
Moved to 817, 181 at time 1607969501211
Moved to 816, 180 at time 1607969501270
Moved to 815, 179 at time 1607969501305
Moved to 814, 178 at time 1607969501345
Moved to 813, 177 at time 1607969501388
Moved to 812, 176 at time 1607969501437
Moved to 811, 175 at time 1607969501482
Moved to 810, 174 at time 1607969501529
Moved to 809, 173 at time 1607969501574
Moved to 808, 172 at time 1607969501630
Moved to 807, 171 at time 1607969501672
Moved to 806, 170 at time 1607969501707
Moved to 805, 169 at time 1607969501747
Moved to 804, 168 at time 1607969501840
Moved to 803, 167 at time 1607969501897
Moved to 802, 166 at time 1607969501954
Moved to 801, 165 at time 1607969502039
Moved to 800, 164 at time 1607969502140
Moved to 799, 163 at time 1607969502253
Moved to 798, 162 at time 1607969502385
Moved to 797, 161 at time 1607969502534
Moved to 796, 160 at time 1607969502673
Moved to 795, 159 at time 1607969502745
Moved to 794, 158 at time 1607969502779
Moved to 793, 157 at time 1607969502828
Moved to 792, 156 at time 1607969502866
Moved to 791, 155 at time 1607969502920
Moved to 790, 154 at time 1607969502970
Moved to 789, 153 at time 1607969503006
Moved to 788, 152 at time 1607969503042
Moved to 787, 151 at time 1607969503088
Moved to 786, 150 at time 1607969503130
Moved to 785, 149 at time 1607969503202
Moved to 784, 148 at time 1607969503296
Moved to 783, 147 at time 1607969503429
Moved to 782, 146 at time 1607969503472
Moved to 781, 145 at time 1607969503528
Moved to 780, 144 at time 1607969503580
Moved to 779, 143 at time 1607969503656
Moved to 778, 142 at time 1607969503737
Moved to 777, 141 at time 1607969503814
Moved to 776, 140 at time 1607969503865
Moved to 775, 139 at time 1607969503926
Moved to 774, 138 at time 1607969503978
Moved to 773, 137 at time 1607969504037
Moved to 772, 136 at time 1607969504089
Moved to 771, 135 at time 1607969504212
Moved to 770, 134 at time 1607969504248
Moved to 769, 133 at time 1607969504289
Moved to 768, 132 at time 1607969504340
Moved to 767, 131 at time 1607969504381
Moved to 766, 130 at time 1607969504428
Moved to 765, 129 at time 1607969504471
Moved to 764, 128 at time 1607969504507
Moved to 763, 127 at time 1607969504561
Moved to 762, 126 at time 1607969504609
Moved to 761, 125 at time 1607969504659
Moved to 760, 124 at time 1607969504695
Moved to 759, 123 at time 1607969504731
Moved to 758, 122 at time 1607969504785
Moved to 757, 121 at time 1607969504831
Moved to 756, 120 at time 1607969504888
Moved to 755, 121 at time 1607969504922
Moved to 754, 122 at time 1607969504979
Moved to 753, 123 at time 1607969505013
Moved to 752, 124 at time 1607969505075
Moved to 751, 125 at time 1607969505114
Moved to 750, 126 at time 1607969505178
Moved to 749, 127 at time 1607969505214
Moved to 748, 128 at time 1607969505258
Moved to 747, 129 at time 1607969505293
Moved to 746, 130 at time 1607969505329
Moved to 745, 131 at time 1607969505376
Moved to 744, 132 at time 1607969505413
Moved to 743, 133 at time 1607969505458
Moved to 742, 134 at time 1607969505506
Moved to 741, 135 at time 1607969505547
Moved to 740, 136 at time 1607969505582
Moved to 739, 137 at time 1607969505635
Moved to 738, 138 at time 1607969505677
Moved to 737, 139 at time 1607969505712
Moved to 736, 140 at time 1607969505762
Moved to 735, 141 at time 1607969505809
Moved to 734, 142 at time 1607969505872
Moved to 733, 143 at time 1607969505921
Moved to 732, 144 at time 1607969505957
Moved to 731, 145 at time 1607969506002
Moved to 730, 146 at time 1607969506038
Moved to 729, 147 at time 1607969506098
Moved to 728, 148 at time 1607969506191
Moved to 727, 149 at time 1607969506308
Moved to 726, 150 at time 1607969506360
Moved to 725, 151 at time 1607969506422
Moved to 724, 152 at time 1607969506481
Moved to 723, 153 at time 1607969506544
Moved to 722, 154 at time 1607969506597
Moved to 721, 155 at time 1607969506632
Moved to 720, 154 at time 1607969506689
Moved to 719, 155 at time 1607969506725
Moved to 718, 156 at time 1607969506761
Moved to 717, 157 at time 1607969506813
Moved to 716, 156 at time 1607969506847
Moved to 715, 157 at time 1607969506896
Moved to 714, 158 at time 1607969506949
Moved to 713, 157 at time 1607969506984
Moved to 712, 158 at time 1607969507025
Moved to 711, 157 at time 1607969507062
Moved to 710, 156 at time 1607969507124
Moved to 709, 157 at time 1607969507172
Moved to 708, 158 at time 1607969507209
Moved to 707, 159 at time 1607969507263
Moved to 706, 160 at time 1607969507297
Moved to 705, 161 at time 1607969507332
Moved to 704, 162 at time 1607969507391
Moved to 703, 163 at time 1607969507431
Moved to 702, 164 at time 1607969507477
Moved to 701, 165 at time 1607969507531
Moved to 700, 166 at time 1607969507569
Moved to 699, 165 at time 1607969507662
Moved to 698, 166 at time 1607969507750
Moved to 697, 165 at time 1607969507846
Moved to 696, 166 at time 1607969507962
Moved to 695, 165 at time 1607969508008
Moved to 694, 166 at time 1607969508063
Moved to 693, 167 at time 1607969508127
Moved to 692, 168 at time 1607969508172
Moved to 691, 167 at time 1607969508227
Moved to 690, 168 at time 1607969508265
Moved to 689, 169 at time 1607969508324
Moved to 688, 170 at time 1607969508362
Moved to 687, 171 at time 1607969508405
Moved to 686, 172 at time 1607969508453
Moved to 685, 173 at time 1607969508492
Moved to 684, 174 at time 1607969508528
Moved to 683, 175 at time 1607969508579
Moved to 682, 176 at time 1607969508647
Moved to 681, 177 at time 1607969508720
Moved to 680, 178 at time 1607969508841
Moved to 679, 177 at time 1607969508971
Moved to 678, 176 at time 1607969509065
Moved to 677, 177 at time 1607969509188
Moved to 676, 178 at time 1607969509282
Moved to 675, 179 at time 1607969509406
Moved to 674, 178 at time 1607969509494
Moved to 673, 179 at time 1607969509639
Moved to 672, 180 at time 1607969509683
Moved to 671, 181 at time 1607969509732
Moved to 670, 182 at time 1607969509766
Moved to 669, 183 at time 1607969509824
Moved to 668, 184 at time 1607969509865
Moved to 667, 185 at time 1607969509911
Moved to 666, 186 at time 1607969509958
Moved to 665, 185 at time 1607969509994
Moved to 664, 184 at time 1607969510037
Moved to 663, 183 at time 1607969510076
Moved to 662, 182 at time 1607969510127
Moved to 661, 181 at time 1607969510173
Moved to 660, 180 at time 1607969510215
Moved to 659, 179 at time 1607969510253
Moved to 658, 178 at time 1607969510312
Moved to 657, 179 at time 1607969510364
Moved to 656, 180 at time 1607969510427
Moved to 655, 179 at time 1607969510478
Moved to 654, 178 at time 1607969510516
Moved to 653, 179 at time 1607969510557
Moved to 652, 180 at time 1607969510606
Moved to 651, 181 at time 1607969510656
Moved to 650, 180 at time 1607969510748
Moved to 649, 181 at time 1607969510798
Moved to 648, 180 at time 1607969510891
Moved to 647, 181 at time 1607969510934
Moved to 646, 180 at time 1607969511037
Moved to 645, 179 at time 1607969511074
Moved to 644, 178 at time 1607969511147
