Attacked Unit@2de232ddat position 1694, 329 at time 1607968586256
Moved to 1669, 701 at time 1607968736220
Moved to 1670, 700 at time 1607968736308
Moved to 1671, 701 at time 1607968736370
Moved to 1670, 702 at time 1607968736408
Moved to 1671, 701 at time 1607968736448
Moved to 1672, 702 at time 1607968736485
Moved to 1673, 703 at time 1607968736520
Moved to 1674, 702 at time 1607968736558
Moved to 1673, 703 at time 1607968736597
Moved to 1672, 704 at time 1607968736642
Moved to 1671, 705 at time 1607968736684
Moved to 1672, 706 at time 1607968736725
Moved to 1671, 707 at time 1607968736761
Moved to 1670, 708 at time 1607968736795
Moved to 1669, 709 at time 1607968736854
Moved to 1670, 708 at time 1607968736945
Moved to 1669, 709 at time 1607968736983
Moved to 1670, 708 at time 1607968737021
Moved to 1671, 707 at time 1607968737118
Moved to 1670, 708 at time 1607968737217
Moved to 1669, 709 at time 1607968737304
Moved to 1670, 708 at time 1607968737382
Moved to 1671, 709 at time 1607968737458
Moved to 1672, 710 at time 1607968737540
Moved to 1673, 711 at time 1607968737627
Moved to 1674, 710 at time 1607968737709
Moved to 1675, 711 at time 1607968737779
Moved to 1674, 712 at time 1607968737853
Moved to 1673, 713 at time 1607968737927
Moved to 1674, 712 at time 1607968738012
Moved to 1675, 711 at time 1607968738068
Moved to 1676, 712 at time 1607968738151
Moved to 1677, 711 at time 1607968738234
Moved to 1678, 712 at time 1607968738289
Moved to 1679, 713 at time 1607968738343
Moved to 1680, 712 at time 1607968738390
Moved to 1681, 713 at time 1607968738442
Moved to 1682, 714 at time 1607968738485
Moved to 1681, 715 at time 1607968738523
Moved to 1682, 714 at time 1607968738567
Moved to 1681, 715 at time 1607968738605
Moved to 1682, 714 at time 1607968738653
Moved to 1683, 713 at time 1607968738717
Attacked Unit@b4d39bat position 1952, 631 at time 1607968738768
Attacked Unit@b4d39bat position 1952, 631 at time 1607968773677
Got attacked at 1683, 713 by Unit@b4d39b at time 1607968773717
Got attacked at 1683, 713 by Unit@76bfb092 at time 1607968775368
Attacked Unit@76bfb092at position 1952, 611 at time 1607968775428
Died at 1635, 648 at time 1607968775495
Died at 1651, 680 at time 1607968775548
Died at 1690, 716 at time 1607968775690
Got attacked at 1683, 713 by Falling off a bridge at time 1607968775782
Died at 1683, 713 at time 1607968775818
Died at 1683, 713 at time 1607968775911
