Attacked Unit@27e8bfabat position 1555, 489 at time 1607967053571
Moved to 2485, 779 at time 1607969446227
Moved to 2484, 778 at time 1607969446437
Moved to 2483, 777 at time 1607969446631
Moved to 2482, 776 at time 1607969446873
Moved to 2481, 775 at time 1607969447007
Moved to 2480, 774 at time 1607969447148
Moved to 2479, 773 at time 1607969447243
Moved to 2478, 772 at time 1607969447292
Moved to 2477, 771 at time 1607969447351
Moved to 2476, 770 at time 1607969447404
Moved to 2475, 769 at time 1607969447473
Moved to 2474, 768 at time 1607969447526
Moved to 2473, 767 at time 1607969447592
Moved to 2472, 766 at time 1607969447657
Moved to 2471, 765 at time 1607969447725
Moved to 2470, 764 at time 1607969447828
Moved to 2469, 763 at time 1607969448000
Moved to 2468, 762 at time 1607969448098
Moved to 2467, 761 at time 1607969448140
Moved to 2466, 760 at time 1607969448234
Moved to 2465, 759 at time 1607969448294
Moved to 2464, 758 at time 1607969448353
Moved to 2463, 757 at time 1607969448438
Moved to 2462, 756 at time 1607969448474
Moved to 2461, 755 at time 1607969448624
Moved to 2460, 754 at time 1607969448820
Moved to 2459, 753 at time 1607969449040
Moved to 2458, 752 at time 1607969449193
Moved to 2457, 751 at time 1607969449319
Moved to 2456, 750 at time 1607969449356
Moved to 2455, 749 at time 1607969449441
Moved to 2454, 748 at time 1607969449496
Moved to 2453, 747 at time 1607969449532
Moved to 2452, 746 at time 1607969449609
Moved to 2451, 745 at time 1607969449718
Moved to 2450, 744 at time 1607969449796
Moved to 2449, 743 at time 1607969449910
Moved to 2448, 742 at time 1607969450010
Moved to 2447, 741 at time 1607969450090
Moved to 2446, 740 at time 1607969450182
Moved to 2445, 739 at time 1607969450286
Moved to 2444, 738 at time 1607969450364
Moved to 2443, 737 at time 1607969450490
Moved to 2442, 736 at time 1607969450574
Moved to 2441, 735 at time 1607969450681
Moved to 2440, 734 at time 1607969450758
Moved to 2439, 733 at time 1607969450890
Moved to 2438, 732 at time 1607969450986
Moved to 2437, 731 at time 1607969451057
Moved to 2436, 730 at time 1607969451094
Moved to 2435, 729 at time 1607969451173
Moved to 2434, 728 at time 1607969451311
Moved to 2433, 727 at time 1607969451357
Moved to 2432, 726 at time 1607969451393
Moved to 2431, 725 at time 1607969451489
Moved to 2430, 724 at time 1607969451554
Moved to 2429, 723 at time 1607969451682
Moved to 2428, 722 at time 1607969451754
Moved to 2427, 721 at time 1607969451842
Moved to 2426, 720 at time 1607969451919
Moved to 2425, 719 at time 1607969452000
