Attacked Unit@7fd22736at position 1521, 405 at time 1607967053445
Moved to 2593, 856 at time 1607969441872
Moved to 2592, 855 at time 1607969442018
Moved to 2591, 854 at time 1607969442138
Moved to 2590, 853 at time 1607969442205
Moved to 2589, 852 at time 1607969442252
Moved to 2588, 851 at time 1607969442479
Moved to 2587, 850 at time 1607969442563
Moved to 2586, 849 at time 1607969442658
Moved to 2585, 848 at time 1607969442732
Moved to 2584, 847 at time 1607969442853
Moved to 2583, 846 at time 1607969442932
Moved to 2582, 845 at time 1607969443065
Moved to 2581, 844 at time 1607969443129
Moved to 2580, 843 at time 1607969443253
Moved to 2579, 842 at time 1607969443329
Moved to 2578, 841 at time 1607969443450
Moved to 2577, 840 at time 1607969443541
Moved to 2576, 839 at time 1607969443636
Moved to 2575, 838 at time 1607969443697
Moved to 2574, 837 at time 1607969443768
Moved to 2573, 836 at time 1607969443836
Moved to 2572, 835 at time 1607969443905
Moved to 2571, 834 at time 1607969443949
Moved to 2570, 833 at time 1607969444019
Moved to 2569, 832 at time 1607969444184
Moved to 2568, 831 at time 1607969444367
Moved to 2567, 830 at time 1607969444513
Moved to 2566, 829 at time 1607969444565
Moved to 2565, 828 at time 1607969444678
Moved to 2564, 827 at time 1607969444930
Moved to 2563, 826 at time 1607969444966
Moved to 2562, 825 at time 1607969445248
Moved to 2561, 824 at time 1607969445342
Moved to 2560, 823 at time 1607969445447
Moved to 2559, 822 at time 1607969445550
Moved to 2558, 821 at time 1607969445670
Moved to 2557, 820 at time 1607969445755
Moved to 2556, 819 at time 1607969445863
Moved to 2555, 818 at time 1607969445970
Moved to 2554, 817 at time 1607969446073
Moved to 2553, 816 at time 1607969446188
Moved to 2552, 815 at time 1607969446262
Moved to 2551, 814 at time 1607969446296
Moved to 2550, 813 at time 1607969446542
Moved to 2549, 812 at time 1607969446752
Moved to 2548, 811 at time 1607969446789
Moved to 2547, 810 at time 1607969446939
Moved to 2546, 809 at time 1607969447093
Moved to 2545, 808 at time 1607969447183
Moved to 2544, 807 at time 1607969447339
Moved to 2543, 806 at time 1607969447416
Moved to 2542, 805 at time 1607969447466
Moved to 2541, 804 at time 1607969447501
Moved to 2540, 803 at time 1607969447557
Moved to 2539, 802 at time 1607969447600
Moved to 2538, 801 at time 1607969447652
Moved to 2537, 800 at time 1607969447690
Moved to 2536, 799 at time 1607969447843
Moved to 2535, 798 at time 1607969447985
Moved to 2534, 797 at time 1607969448118
Moved to 2533, 796 at time 1607969448263
Moved to 2532, 795 at time 1607969448371
Moved to 2531, 794 at time 1607969448423
Moved to 2530, 793 at time 1607969448492
Moved to 2529, 792 at time 1607969448594
Moved to 2528, 791 at time 1607969448850
Moved to 2527, 790 at time 1607969449086
Moved to 2526, 789 at time 1607969449167
Moved to 2525, 788 at time 1607969449202
Moved to 2524, 787 at time 1607969449280
Moved to 2523, 786 at time 1607969449394
Moved to 2522, 785 at time 1607969449556
