Moved to 423, 338 at time 1607905511849
Moved to 422, 337 at time 1607905511883
Moved to 421, 336 at time 1607905511917
Moved to 420, 335 at time 1607905511951
Moved to 419, 334 at time 1607905511985
Moved to 418, 318 at time 1607905512598
Moved to 417, 317 at time 1607905512632
Moved to 416, 316 at time 1607905512666
Moved to 415, 315 at time 1607905512700
Moved to 414, 314 at time 1607905512734
Moved to 413, 313 at time 1607905512769
Moved to 412, 312 at time 1607905512803
Moved to 411, 311 at time 1607905512837
Moved to 410, 310 at time 1607905512905
Moved to 409, 309 at time 1607905512939
Moved to 408, 308 at time 1607905512973
Moved to 407, 307 at time 1607905513007
Moved to 406, 306 at time 1607905513041
